127.0.0.1 - - [06/Nov/2019:21:19:35 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:06 +0800] "GET //web-logistics/admin/login.do HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:06 +0800] "GET /web-logistics/css/style1.css HTTP/1.1" 200 6518
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:06 +0800] "GET /web-logistics/js/bootstrap.min.js HTTP/1.1" 200 28538
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:06 +0800] "GET /web-logistics/images/group.png HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:06 +0800] "GET /web-logistics/js/jquery1.9.0.min.js HTTP/1.1" 200 206698
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:07 +0800] "GET /web-logistics/images/m.png HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:07 +0800] "GET /web-logistics/images/bbb.jpg HTTP/1.1" 200 247211
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:07 +0800] "GET /web-logistics/images/l.png HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:07 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "POST /web-logistics/admin/ifLogin.do HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/easyui/jquery.easyui.min.js HTTP/1.1" 200 452342
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/easyui/themes/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/easyui/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/easyui/themes/default/easyui.css HTTP/1.1" 200 71588
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/easyui/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/power/lookOrder.do HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:09 +0800] "GET /web-logistics/power/lookOrder.do HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:10 +0800] "GET /web-logistics/easyui/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:10 +0800] "GET /web-logistics/power/powerTree.do HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:10 +0800] "GET /web-logistics/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:10 +0800] "GET /web-logistics/easyui/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:10 +0800] "GET /web-logistics/power/powerTree.do HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:10 +0800] "GET /web-logistics/easyui/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:10 +0800] "GET /web-logistics/easyui/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:10 +0800] "GET /web-logistics/easyui/themes/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:10 +0800] "POST /web-logistics/order/page.do HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:14 +0800] "GET /web-logistics/bad/toAdd.do HTTP/1.1" 200 6140
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:15 +0800] "GET /web-logistics/resource/css/bootstrap.css HTTP/1.1" 200 138058
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:15 +0800] "GET /web-logistics/resource/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:15 +0800] "GET /web-logistics/resource/js/layer/layer.js HTTP/1.1" 200 14980
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:15 +0800] "GET /web-logistics/resource/js/laydate/laydate.js HTTP/1.1" 200 21236
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:15 +0800] "GET /web-logistics/resource/js/jquery-2.1.4.min.js HTTP/1.1" 200 84347
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:15 +0800] "GET /web-logistics/resource/js/layer/skin/layer.css HTTP/1.1" 200 14609
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:15 +0800] "GET /web-logistics/resource/js/laydate/need/laydate.css HTTP/1.1" 200 5943
0:0:0:0:0:0:0:1 - - [06/Nov/2019:21:27:15 +0800] "GET /web-logistics/resource/js/laydate/skins/default/laydate.css HTTP/1.1" 200 3572
